cargo;inscricao;Q1;NFDiscur
AN09;1012995;13,000;13,000
AN09;1013919;0,000;0,000
AN09;1000088;5,000;5,000
AN09;1005717;13,000;13,000
AN09;1008097;24,500;24,500
AN09;1011114;3,000;3,000
AN09;1006246;19,000;19,000
AN09;1012008;10,000;10,000
AN09;1010584;10,000;10,000
AN09;1012076;10,000;10,000
AN09;1014485;8,000;8,000
AN10;1000274;19,000;19,000
AN10;1006938;13,000;13,000
AN10;1013150;11,000;11,000
AN10;1011391;9,000;9,000
AN10;1007661;15,000;15,000
AN10;1011232;12,500;12,500
AN10;1002828;22,000;22,000
AN10;1012309;13,000;13,000
AN10;1012863;15,000;15,000
AN10;1006119;1,000;1,000
AN10;1001535;15,000;15,000
AN10;1011300;4,000;4,000
AN10;1007131;15,000;15,000
AN10;1008399;15,000;15,000
AN10;1012010;15,000;15,000
AN10;1013966;0,500;0,500
AN10;1008127;16,000;16,000
AN10;1000126;15,000;15,000
AN11;1012835;15,000;15,000
AN11;1014492;10,000;10,000
AN11;1008124;15,000;15,000
AN11;1008714;18,000;18,000
AN11;1007139;11,000;11,000
AN11;1001558;13,000;13,000
AN11;1012942;9,000;9,000
AN11;1008809;6,000;6,000
AN11;1002774;9,000;9,000
AN11;1012295;15,000;15,000
AN11;1005534;15,000;15,000
AN12;1002239;5,000;5,000
AN12;1013550;4,000;4,000
AN12;1003238;15,000;15,000
AN13;1008978;11,000;11,000
AN13;1007659;15,000;15,000
AN13;1009417;7,000;7,000
AN13;1011340;12,000;12,000
AN13;1002097;19,000;19,000
AN14;1008869;9,000;9,000
AN14;1006768;12,000;12,000
AN14;1005279;10,000;10,000
AN14;1012068;15,000;15,000
AN14;1003617;13,000;13,000
AN14;1003636;3,000;3,000
AN15;1013730;8,000;8,000
AN15;1002264;21,000;21,000
AN15;1011806;20,000;20,000
AN15;1000775;15,000;15,000
AN15;1014129;18,500;18,500
AN15;1000081;11,000;11,000
AN16;1013392;15,000;15,000
AN16;1014694;7,000;7,000
AN16;1010068;15,000;15,000
AN16;1002879;11,000;11,000
AN16;1007727;16,000;16,000
AN16;1001645;17,000;17,000
AN16;1009296;4,000;4,000
AN16;1004377;11,000;11,000
AN16;1005704;9,000;9,000
AN16;1001997;19,000;19,000
AN16;1004367;9,500;9,500
AN16;1009086;15,000;15,000
AN16;1000734;15,000;15,000
AN16;1001746;15,000;15,000
AN16;1014816;11,000;11,000
AN17;1006372;16,000;16,000
AN17;1010119;3,000;3,000
AN17;1001307;9,000;9,000
AN17;1009007;18,000;18,000
AN17;1010136;12,000;12,000
AN17;1010037;23,000;23,000
AN17;1007229;6,000;6,000
AN17;1004007;9,000;9,000
AN17;1012696;10,000;10,000
AN17;1008283;7,000;7,000
AN18;1004613;22,000;22,000
AN18;1006673;0,500;0,500
AN18;1000671;15,000;15,000
AN18;1006833;13,000;13,000
AN18;1000188;2,000;2,000
AN18;1014228;1,000;1,000
AN18;1005908;19,000;19,000
AN19;1011709;8,000;8,000
AN19;1006802;9,000;9,000
AN19;1001488;7,000;7,000
AN19;1010958;7,000;7,000
AN19;1004217;12,000;12,000
AN19;1011914;9,000;9,000
AN19;1002833;15,000;15,000
AN19;1009047;13,000;13,000
AN19;1011377;11,000;11,000
AN19;1002825;11,000;11,000
AN19;1005845;12,000;12,000
AN19;1008583;15,000;15,000
AN19;1004216;16,000;16,000
AN19;1013780;6,000;6,000
AN19;1001580;5,000;5,000
AN19;1002280;20,000;20,000
AN19;1002902;16,000;16,000
AN20;1001798;13,000;13,000
AN20;1006792;18,000;18,000
AN20;1006074;18,000;18,000
AN20;1003069;15,000;15,000
AN20;1010908;15,500;15,500
AN20;1000862;11,000;11,000
AN20;1010755;15,000;15,000
AN20;1007377;13,000;13,000
AN20;1011338;4,000;4,000
AN20;1005920;13,000;13,000
AN20;1009060;15,000;15,000
AN20;1000310;16,000;16,000
AN20;1001623;15,000;15,000
AN20;1003054;8,000;8,000
AN21;1010583;8,000;8,000
AN21;1006382;8,000;8,000
AN21;1009969;12,000;12,000
AN21;1006537;8,000;8,000
AN21;1004530;15,000;15,000
AN21;1003315;17,000;17,000
AN21;1014561;15,000;15,000
AN21;1008365;10,000;10,000
AN21;1000964;15,000;15,000
AN21;1000261;18,000;18,000
AN21;1002583;17,000;17,000
AN21;1013420;10,000;10,000
AN21;1000281;18,000;18,000
AN22;1006547;12,000;12,000
AN22;1014737;8,000;8,000
AN22;1000516;19,500;19,500
AN22;1001709;15,000;15,000
AN22;1010742;15,000;15,000
AN22;1005715;3,000;3,000
AN22;1005646;13,000;13,000
AN22;1003042;11,000;11,000
AN22;1009615;11,000;11,000
AN22;1008343;9,000;9,000
AN22;1010987;11,000;11,000
AN22;1000994;18,000;18,000
AN22;1011009;4,000;4,000
AN22;1011659;11,000;11,000
AN22;1003196;6,000;6,000
AN22;1001070;13,000;13,000
AN22;1007217;23,000;23,000
AN22;1010782;6,000;6,000
AN22;1002589;10,000;10,000
AN23;1004677;9,000;9,000
AN23;1001295;4,000;4,000
AN23;1000483;19,000;19,000
